drug_name,closest_name,drugbank_id,score
"abacavir (ABC)
",abacavir,DB01048,80.0
"acetazolamide
",acetazolamide,DB00819,100.0
"acetic acid
",acetic acid,DB03166,100.0
"acetylcysteine 
",acetylcysteine,DB06151,100.0
"acetylsalicylic acid 
",acetylsalicylic acid,DB00945,100.0
"aciclovir 
",famciclovir,DB00426,90.0
"albendazole
",albendazole,DB00518,100.0
"alcuronium
",alcuronium,DB13648,100.0
"allopurinol 
",allopurinol,DB00437,100.0
"aluminium diacetate
",aluminum subacetate,DB15679,84.0
"aluminium hydroxide 
",aluminum hydroxide,DB06723,97.0
"amidotrizoate 
",diatrizoate,DB00271,75.0
"amikacin
",amikacin,DB00479,100.0
"amiloride
",amiloride,DB00594,100.0
"amiodarone 
",amiodarone,DB01118,100.0
"amitriptyline
",amitriptyline,DB00321,100.0
"amlodipine
",amlodipine,DB00381,100.0
"amodiaquine
",amodiaquine,DB00613,100.0
"amoxicillin 
",amoxicillin,DB01060,100.0
"amoxicillin + clavulanic acid 
",clavulanic acid,DB00766,71.0
"amphotericin B
",amphotericin b,DB00681,100.0
"ampicillin 
",ampicillin,DB00415,100.0
"anti‐D immunoglobulin (human)
",human immunoglobulin g,DB00028,86.0
"antitetanus immunoglobulin (human)
",human immunoglobulin g,DB00028,78.0
"antivenom immunoglobulin 
",human immunoglobulin g,DB00028,74.0
"artemether
",artemether,DB06697,100.0
"artemether + lumefantrine
",lumefantrine co-artemether,DB13085,94.0
"artesunate
",artesunate,DB09274,100.0
"ascorbic acid 
",ascorbic acid,DB00126,100.0
"asparaginase
",asparagine,DB00174,91.0
"atazanavir
",atazanavir,DB01072,100.0
"atenolol
",atenolol,DB00335,100.0
"atropine 
",atropine,DB00572,100.0
"azathioprine
",azathioprine,DB00993,100.0
"azithromycin
",azithromycin,DB00207,100.0
"barium sulfate 
",barium sulfate,DB11150,100.0
"BCG vaccine
",bcg vaccine,DB12768,100.0
"beclometasone 
",alclometasone,DB00240,85.0
"benzathine benzylpenicillin 
",benzylpenicillin,DB01053,74.0
"benznidazole
",benznidazole,DB11989,100.0
"benzoic acid + salicylic acid
",aminosalicylic acid,DB00233,78.0
"benzoyl peroxide
",benzoyl peroxide,DB09096,100.0
"benzyl benzoate
",benzyl benzoate,DB00676,100.0
"benzylpenicillin
",benzylpenicillin,DB01053,100.0
